base_seg_id	source	target	score	severity	ht	auto_rank	bleu	chrf	ter	comet_ref	comet_qe
_DE_EN_018529-01	In der Tat es ist von Ihnen erwähnt worden und von dem Kollegen Brok wir sind gemeinsam in einer schwierigen wirtschaftlichen Situation.	As you and Mr Brok have said, both Europe and the United States are indeed in a difficult economic situation. [MISSING]			As you and Mr Brok have said, both Europe and the United States are indeed in a difficult economic situation.	human	24.94805048948416	51.63542742056936	55.00000000000001	0.8362318277359009	0.8270301818847656
_DE_EN_018529-02	In Europa ist es vielleicht sichtbarer, aber auch in den Vereinigten Staaten von Amerika ist das klar.	In Europe it is perhaps more obvious, but it is clearly the case in the United States, too. [MISSING]			In Europe it is perhaps more obvious, but it is clearly the case in the United States, too.	human	24.692638635104643	44.4103541453242	72.22222222222221	0.9218739867210388	0.856101393699646
_DE_EN_018529-03	Es war schon bei G20 ein bisschen betrüblich, wenn man den Informationen glauben darf, wie manche Länder Argentinien etc. uns jetzt belehrt haben, die Hausaufgaben zu machen.	At the G20 it was a little distressing, if the information is to be believed, to see that some countries Argentina and others were telling us what to do. [MISSING]			At the G20 it was a little distressing, if the information is to be believed, to see that some countries Argentina and others were telling us what to do.	human	34.12525042465772	53.6495595617773	55.172413793103445	0.7526594996452332	0.7531570196151733
_DE_EN_018529-04	Früher waren immer wir diejenigen, die die anderen belehrt haben.	Previously, we were always the ones who instructed others. [MISSING]			Previously, we were always the ones who instructed others.	human	46.92470064105597	52.576047948980886	55.55555555555556	0.884602963924408	0.8258280158042908
_DE_EN_018529-05	Jetzt werden wir von den anderen belehrt, und das muss uns und unseren Bürgern schon zu denken geben, dass wir wirklich jetzt mit aller Kraft unsere wirtschaftliche Situation in Ordnung bringen.	Now we are being taught by the others, and that has to give us and our citizens reason to reflect on the fact that we really should do everything we can now to put our economic situation in order. [MISSING]			Now we are being taught by the others, and that has to give us and our citizens reason to reflect on the fact that we really should do everything we can now to put our economic situation in order.	human	41.22646445356474	65.54403298898923	35.8974358974359	0.8450707793235779	0.7922375798225403
_DE_EN_018529-06	Was wir aber gemeinsam mit Amerika tun können, ist sicherlich, in verschiedenen Bereichen Innovationsgemeinschaften zu bilden.	What we can certainly do together with America, however, is to form innovation communities in various areas. [MISSING]			However, what we certainly can do together with the US is to form innovation communities in various different areas.	best	39.49593992048069	70.48546657306338	26.31578947368421	0.9014270305633544	0.8537103533744812
_DE_EN_018529-07	In unserer Entschließung schneiden wir das an, z. B. in dem Energiebereich.	We address this in our resolution, for example in the energy sector. [MISSING]			We touch on this in our resolution, for example in the energy sector.	best	79.65485887268619	84.35240942440544	15.384615384615383	0.9260120391845704	0.8321449756622314
_DE_EN_018529-08	Gerade auch in dem Bereich von Energiesparen und Energieeffizienz sind wir noch vielfach besser als die Amerikaner, aber dennoch können wir hier gemeinsam forschen.	We are still much better than the Americans in many areas, particularly in the field of energy saving and energy efficiency, but we can still conduct joint research here. [MISSING]			In the area of energy saving and energy efficiency in particular we are many times better than the United States, but we can still carry out research together in this area.	best	31.177304099939494	58.58425698372615	58.06451612903226	0.8906641006469727	0.8506110310554504
_DE_EN_018529-09	Oder z. B. auf dem Gebiet der Seltenen Erden ich nehme an, der Kollege wird noch darüber reden gibt es eine Reihe von Möglichkeiten, wo Amerika und Europa gemeinsam vorgehen und auch global Zeichen setzen können.	Or, for example, in the field of rare earths – I assume my colleague will talk about this later – there are a number of opportunities where America and Europe can work together and also set a global example. [MISSING]			Another example is the area of rare earths I assume my fellow Member will also speak about this there are a number of possible areas where the United States and Europe can work together and also make their mark globally.	best	30.25214638175392	52.932829362206434	52.5	0.8348134160041809	0.8471227884292603
_DE_EN_018529-10	Drittens: Was ich Sie bitte, Herr Kommissar, ist, darauf zu drängen, dass wir natürlich auch über die Frage der internationalen Regulierung, der Regulierungsrahmen reden.	Thirdly, Commissioner, I would ask you to insist that we also discuss the issue of international regulation and the regulatory framework. [MISSING]			Thirdly, I would ask you, Commissioner, to insist that we, naturally, also discuss the issue of international regulation and the regulatory framework.	best	66.43627350227815	85.47615267411118	18.181818181818183	0.9086490869522096	0.8193271160125732
_DE_EN_018529-11	Wir wissen bei den Finanzmärkten, was immer wir auch in Europa tun können, das müssen wir tun.	We know that when it comes to the financial markets, whatever we can do in Europe, we must do. [MISSING]			With regard to the financial markets, we know that, in Europe too, we have to do whatever we can.	best	27.196691092666576	60.96034941607863	73.68421052631578	0.8498677611351013	0.8349575996398926
_DE_EN_018529-12	Aber wenn wir nicht zumindest in gewissen Bereichen gemeinsam mit den Amerikanern vorgehen und dann auch noch gemeinsam China und andere überzeugen, dass wir mehr Regulierung insbesondere auf den Finanzmärkten brauchen, wird das nicht gehen.	But if we do not at least work together with the Americans in certain areas and then also convince China and others that we need more regulation, especially in the financial markets, it will not work. [MISSING]			However, if we do not work with the United States, at least in certain areas, and then together also convince China and others that we need more regulation particularly on the financial markets it will not be possible.	best	41.25611788325694	67.09424576573252	31.57894736842105	0.8819490671157837	0.8551582098007202
_DE_EN_018529-13	Ich meine, dazu gehört auch die Finanztransaktionssteuer.	I believe that this also includes the financial transaction tax. [MISSING]			I believe that this also includes the financial transaction tax.	best	100.00000000000004	100.0	0.0	0.9691792130470276	0.8446909785270691
_DE_EN_018529-14	Ich weiß, das ist noch nicht einmal in Europa durch. Aber das ist auch ein Thema, das gerade in dem Dialog mit den Vereinigten Staaten besprochen werden muss.	I know that this has not even been implemented in Europe yet. But this is also an issue that needs to be discussed in the dialogue with the United States. [MISSING]			I know that this has not even been accepted in Europe yet, but it is also a subject that needs to be discussed in talks with the United States.	best	52.15134198481286	72.63910567153034	24.13793103448276	0.90935879945755	0.8124006390571594
_DE_EN_018529-15	Der letzte Punkt der Außenpolitik: Herr Kommissar, Sie haben zu recht darauf hingewiesen, dass es viele gute Bereiche der Zusammenarbeit gibt.	The last point on foreign policy: Commissioner, you rightly pointed out that there are many areas of good cooperation. [MISSING]			My last point relates to foreign policy. Commissioner, you rightly pointed out that there are a lot of good areas for cooperation.	best	41.60038908240036	72.58680715564219	36.36363636363637	0.8970440626144409	0.8566526770591736
_DE_EN_018529-16	Was den Nahen Osten betrifft, so sind wir sehr oft von den Vereinigten Staaten von Amerika hängen gelassen worden, vor allem auch in dem letzten Sommer, als auch mehrere Delegationen des Parlaments in den USA waren und wir gemerkt haben, dass Catherine Ashton nicht die volle Unterstützung bekommen hätte, sondern erst lang nachher, als schon manches zu spät war.	As far as the Middle East is concerned, we have very often been let down by the United States of America, especially last summer, when several parliamentary delegations were in the US and we realized that Catherine Ashton would not have received full support until much later, when it was already too late. [MISSING]			As far as the Middle East is concerned, we have very often been left high and dry by the United States, particularly last summer when several delegations from Parliament were in the US and we noticed that Baroness Ashton did not receive full support. She only received it long after it was already too late in many respects.	best	42.05853580940462	63.03404681805944	46.55172413793103	0.832907497882843	0.8310673236846924
_DE_EN_018529-17	Da hätte man die ganze Palästina-Frage bei den Vereinten Nationen besser behandeln können.	The whole Palestinian issue could have been handled better at the United Nations. [MISSING]			We could have handled the whole Palestine issue better with the United Nations.	best	24.022110864391543	70.21722882210697	46.15384615384615	0.9101349711418152	0.831339955329895
_DE_EN_018529-18	Was wir aber als Fraktion vollkommen ablehnen und kritisieren, ist das Verhalten der USA insbesondere in dem Zusammenhang mit der Unesco.	However, what we as a group completely reject and criticize is the behavior of the US, particularly in relation to UNESCO. [MISSING]			However, what we as a group absolutely reject and are highly critical of is the behaviour of the United States in connection with UNESCO in particular.	best	27.59436756772829	53.70444957043008	50.0	0.9047778248786926	0.8477199673652649
_DE_EN_018529-19	Demokratische Entscheidungen, demokratische Mehrheitsentscheidungen mit Sanktionen oder mit Geldentzug zu bestrafen, ist kein Weg, wie man den Frieden in dem Nahen Osten herstellen kann.	Punishing democratic decisions, democratic majority decisions, with sanctions or with the withdrawal of funds is not the way to bring peace to the Middle East. [MISSING]			Penalising democratic decisions, democratic majority decisions, with sanctions or the withdrawal of funds is no way to establish peace in the Middle East.	best	56.08477095443868	79.83433364822076	26.08695652173913	0.8976470828056335	0.8466935157775879
_DE_EN_018529-20	Das sollte die Europäische Union den Amerikanern auch bei dem Gipfel klar und deutlich sagen!	The European Union should make this clear to the Americans at the summit! [MISSING]			That is something that the European Union should also make very clear to the United States at the summit.	best	16.116587523587988	51.02611403961424	47.368421052631575	0.8714171051979065	0.8433451652526855
_DE_EN_006043-01	Das ist bei dem Europäischen Betriebsrat leider der Fall, und das ist auch jetzt wieder bei der Entsenderichtlinie der Fall.	That happened, unfortunately, with the European Works Council, and it is, equally unfortunately, happening with the Posting of Workers Directive now. [MISSING]			That happened, unfortunately, with the European Works Council, and it is, equally unfortunately, happening with the Posting of Workers Directive now.	human	48.42734640584506	62.63400553235344	61.90476190476191	0.7713213562965393	0.7039577960968018
_DE_EN_006043-02	Das ist erstaunlich, weil eigentlich gerade von diesen beiden genannten Gesetzen eine Signalwirkung für die Bevölkerung und die Arbeitnehmer ausgeht, eine Signalwirkung, dass wir eigentlich ein europäisches Sozialmodell haben.	This is astonishing, for both of these acts to which I have referred send out messages to workers and the public, signalling that we do in fact have such a thing as a European social model. [MISSING]			This is astonishing, for both of these acts to which I have referred send out messages to workers and the public, signalling that we do in fact have such a thing as a European social model.	human	20.08487041153449	46.7154125052748	58.333333333333336	0.857241690158844	0.8548123836517334
_DE_EN_006043-03	Darum ist dies auch bedauerlich!	That is what makes it regrettable. [MISSING]			That is what makes it regrettable.	human	12.22307556087252	54.53388980113119	83.33333333333334	0.9201323986053468	0.8619693517684937
_DE_EN_006043-04	Bei der Debatte in dem Ausschuss wollte uns Ihr Haus sogar glauben machen, dass die ganzen Probleme mit der Richtlinie gar nichts mit Europa zu tun hätten, sondern sich in dem Großen und Ganzen auf Mängel in der nationalen Umsetzung beschränken würden.	When the Committee was debating this, the Commission even sought to persuade us that all the problems with the Directive had nothing to do with Europe, but largely resulted from defects in transposition at national level. [MISSING]			When the Committee was debating this, the Commission even sought to persuade us that all the problems with the Directive had nothing to do with Europe, but largely resulted from defects in transposition at national level.	human	32.86869879368079	53.18929195115385	47.22222222222222	0.8539958596229553	0.8438131809234619
_DE_EN_006043-05	Das ist nach unserer Meinung nicht der Fall.	We do not believe that to be the case. [MISSING]			We do not believe that to be the case.	human	17.747405280050266	31.670926136443377	66.66666666666666	0.9098666310310364	0.8605214357376099
_DE_EN_006043-06	Der Stand der Umsetzung kann auch nicht befriedigend sein, wenn es Hunderte von Klagen bei nationalen und regionalen Arbeits- und Sozialgerichten gibt.	The state of implementation cannot be satisfactory when there are hundreds of lawsuits before national and regional labor and social courts. [MISSING]			The way in which the Directive is implemented can hardly be described as satisfactory when there are hundreds of appeals pending before national and regional labour and social security tribunals.	worst	24.48296068004021	51.52092724307696	53.333333333333336	0.811022937297821	0.8396562337875366
_DE_EN_006043-07	Auch wenn das nationale Gerichte sind, zeigt es doch, dass es auch in der Richtlinie selbst ein Defizit gibt und dass die Rechtssicherheit nicht ausreichend ist.	Even if these are national courts, it shows that there is also a deficit in the directive itself and that legal certainty is insufficient. [MISSING]			Even though these are national courts, it goes to show that there is something lacking in the Directive itself and that there is inadequate legal certainty.	worst	29.630182155520966	57.67754638351178	42.30769230769231	0.8756935000419617	0.8449221849441528
